Date,Symbol,Trade Type,Quantity,Price
11/22/2023,CAN,Stock: Buy at Market Open,8000,$1.63
11/22/2023,HUDI,Stock: Buy at Market Open,3300,$3.15
11/22/2023,LGO,Stock: Buy at Market Open,5000,$2.10
11/22/2023,PTPI,Stock: Buy at Market Open,8989,$1.25
11/13/2023,WGS,Stock: Sell at Market Open,1450,$1.30
11/13/2023,WHLR,Stock: Sell at Market Open,4000,$0.24
11/13/2023,TGI,Stock: Sell at Market Open,2000,$10.19
10/20/2023,SUP,Stock: Sell at Market Open,5500,$2.74
9/13/2023,WGS,Stock: Buy at Market,1450,$4.80
9/11/2023,CAN,Stock: Buy at Market Open,10000,$1.92
9/11/2023,FOSL,Stock: Buy at Market Open,10000,$2.09
9/11/2023,TGI,Stock: Buy at Market Open,2000,$8.78
9/11/2023,KODK,Stock: Buy at Market Open,5000,$4.09
9/11/2023,WHLR,Stock: Buy at Market Open,4000,$4.85
9/11/2023,YCBD,Stock: Sell at Market Open,12000,$1.25
9/08/2023,BHR,Stock: Sell at Market Open,10050,$2.71
9/08/2023,OBLG,Stock: Sell at Market Open,30500,$0.70
9/08/2023,COSM,Stock: Sell at Market Open,36200,$1.14
9/08/2023,YCBD,Stock: Buy at Market Open,12000,$1.07
8/30/2023,WETG,Stock: Sell at Market Open,1500,$8.89
8/21/2023,RVP,Stock: Buy at Market Open,6000,$1.09
8/21/2023,COSM,Stock: Buy at Market Open,5000,$1.38
8/21/2023,WETG,Stock: Buy at Market Open,1500,$7.78
8/17/2023,WETG,Stock: Sell at Market Open,2700,$9.34
8/15/2023,COSM,Stock: Buy at Market Open,8000,$1.36
8/14/2023,SUP,Stock: Buy at Market Open,5500,$3.65
8/14/2023,WETG,Stock: Buy at Market Open,2700,$6.86
8/14/2023,FOSL,Stock: Buy at Market Open,9000,$2.13
8/11/2023,DAVE,Stock: Sell at Market Open,9050,$7.50
8/09/2023,RVP,Stock: Buy at Market Open,4500,$1.16
8/09/2023,OBLG,Stock: Buy at Market Open,4500,$1.07
8/09/2023,COSM,Stock: Buy at Market Open,7500,$1.35
8/09/2023,FOSL,Stock: Buy at Market Open,4000,$2.48
8/08/2023,LE,Stock: Sell at Market Open,3000,$10.07
8/01/2023,RVP,Stock: Buy at Market Open,8200,$1.11
8/01/2023,DAVE,Stock: Buy at Market Open,1400,$6.10
8/01/2023,COSM,Stock: Buy at Market Open,5700,$1.62
8/01/2023,BHR,Stock: Buy at Market Open,2500,$3.64
7/31/2023,SNDL,Stock: Sell at Market Open,22000,$1.57
7/14/2023,COSM,Stock: Buy at Market Open,10000,$3.32
7/13/2023,OBLG,Stock: Buy at Market Open,26000,$1.30
7/13/2023,WGS,Stock: Sell at Market Open,4750,$7.16
7/12/2023,BOXL,Stock: Sell at Market Open,14000,$2.47
7/03/2023,SNDL,Stock: Buy at Market Open,22000,$1.37
7/03/2023,BOXL,Stock: Buy at Market Open,14000,$2.21
6/29/2023,F,Stock: Sell at Market Open,1650,$14.87
6/29/2023,ALTO,Stock: Sell at Market Open,13000,$2.81
6/27/2023,DAVE,Stock: Buy at Market,250,$4.90
6/27/2023,LE,Stock: Buy at Market Open,3000,$8.69
6/27/2023,WGS,Stock: Buy at Market Open,4750,$5.92
6/26/2023,PIK,Stock: Sell at Market Open,49500,$1.10
6/21/2023,DAVE,Stock: Buy at Market Open,400,$5.54
6/21/2023,RVP,Stock: Buy at Market Open,23000,$1.26
6/16/2023,TSAT,Stock: Sell at Market Open,3800,$9.14
6/09/2023,TSLA,Stock: Sell at Market Open,10,$249.07
6/08/2023,PIK,Stock: Buy at Market Open,12000,$0.62
6/08/2023,ALTO,Stock: Buy at Market Open,13000,$2.37
6/08/2023,DAVE,Stock: Buy at Market Open,2500,$5.55
6/08/2023,GLT,Stock: Sell at Market Open,5000,$3.58
6/07/2023,GIII,Stock: Sell at Market Open,1400,$21.15
5/30/2023,TSAT,Stock: Buy at Market Open,2500,$7.00
5/30/2023,GLT,Stock: Buy at Market Open,5000,$3.12
5/24/2023,LL,Stock: Sell at Market Open,8000,$4.09
5/17/2023,F,Stock: Buy at Market Open,650,$11.35
5/17/2023,PIK,Stock: Buy at Market Open,14000,$0.57
5/17/2023,DAVE,Stock: Buy at Market Open,1600,$4.71
5/16/2023,KORE,Stock: Sell at Market Open,16000,$1.33
5/11/2023,AMZN,Stock: Sell at Market Open,10,$111.03
5/01/2023,DAVE,Stock: Buy at Market,600,$5.83
3/31/2023,LL,Stock: Buy at Market Open,2500,$3.62
3/31/2023,KORE,Stock: Buy at Market Open,7000,$1.19
3/31/2023,GIII,Stock: Buy at Market Open,600,$15.54
3/31/2023,BHR,Stock: Buy at Market Open,2300,$3.78
3/30/2023,OPRT,Stock: Sell at Market Open,9000,$4.31
3/23/2023,BHR,Stock: Buy at Market Open,2750,$3.86
3/23/2023,LL,Stock: Buy at Market Open,2500,$3.47
3/22/2023,CURO,Stock: Sell at Market Open,7500,$1.85
3/16/2023,OPRT,Stock: Buy at Market Open,6000,$2.37
3/16/2023,CURO,Stock: Buy at Market Open,7500,$1.56
3/16/2023,KORE,Stock: Buy at Market Open,9000,$1.36
3/16/2023,LL,Stock: Buy at Market Open,3000,$3.82
3/16/2023,BHR,Stock: Buy at Market Open,2500,$4.18
3/15/2023,DTC,Stock: Sell at Market Open,7500,$6.39
2/27/2023,PIK,Stock: Buy at Market Open,12000,$0.81
2/27/2023,OPRT,Stock: Buy at Market Open,1500,$6.07
2/27/2023,DTC,Stock: Buy at Market Open,2500,$4.15
2/27/2023,DAVE,Stock: Buy at Market Open,1250,$8.45
2/08/2023,EHTH,Stock: Sell at Market Open,1500,$8.62
2/08/2023,TGI,Stock: Sell at Market Open,2700,$12.56
2/07/2023,PIK,Stock: Buy at Market Open,11500,$1.00
2/07/2023,DAVE,Stock: Buy at Market Open,1050,$9.85
2/07/2023,OPRT,Stock: Buy at Market Open,1500,$7.35
2/07/2023,TSAT,Stock: Buy at Market Open,1300,$9.68
2/07/2023,EHTH,Stock: Buy at Market Open,1500,$7.73
2/03/2023,KODK,Stock: Sell at Market Open,5000,$3.92
2/03/2023,AAPL,Stock: Sell at Market Open,50,$148.03
1/26/2023,KODK,Stock: Buy at Market Open,5000,$3.45
1/26/2023,GIII,Stock: Buy at Market Open,800,$16.06
1/26/2023,AHT,Stock: Sell at Market Open,6000,$6.36
